trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1000,False,"{'a': 0.85, 'e': 0.13506452244668335}",25,18,12.980797137078431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.85, 'e': 0.13479439340178997}",25,17,10.0310617425654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.85, 'e': 0.1345248046149864}",20,11,11.35487154855387,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.85, 'e': 0.13425575500575643}",20,15,-32.146966065116416,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
1004,False,"{'a': 0.85, 'e': 0.13398724349574492}",20,12,3.779637013036761,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1005,False,"{'a': 0.85, 'e': 0.13371926900875344}",20,7,-41.81928368806534,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
1006,False,"{'a': 0.85, 'e': 0.13345183047073594}",20,12,-34.89039335516257,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
1007,False,"{'a': 0.85, 'e': 0.13318492680979446}",25,7,20.342731546299685,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1008,False,"{'a': 0.85, 'e': 0.13291855695617488}",25,17,5.952435847526411,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.85, 'e': 0.13265271984226254}",25,8,8.80411053217069,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1010,False,"{'a': 0.85, 'e': 0.132387414402578}",20,8,9.552811751680498,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1011,False,"{'a': 0.85, 'e': 0.13212263957377285}",20,8,22.88063529518003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
