trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",20,6,-7.041281518877277,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",25,16,-18.699229565979316,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",30,0,-87.81905070331031,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.5704072587541458}",20,0,-0.9119892462577434,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.567555222460375}",20,0,-98.79538757947759,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",20,0,-3.1043484906071592,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",30,14,-81.9503970144434,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",20,11,-26.81745279439355,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",30,0,-5.38801949908073,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.5535075230322891}",25,0,-29.359037310707926,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5507399854171277}",20,0,-34.33366433206141,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.547986285490042}",20,0,-68.38716666846139,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.5452463540625918}",30,0,-57.64698604006143,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
